Topic,Count,Name,CustomName,Representation,Representative_Docs
0,1491,0_amp_one_first_think,not_cyberbullying,"['amp', 'one', 'first', 'think', 'know', 'time', 'ur', 'thing', 'school', 'like']","['flopped first time pls like think im nice rt im one ur fave moot reply love vote crush', 'think ur love one first', 'right want one thing']"
1,1481,1_muslim_christian_terrorist_islamic,religion,"['muslim', 'christian', 'terrorist', 'islamic', 'terrorism', 'radical', 'idiot', 'islam', 'support', 'woman']","['atia need correct speech idiot belongs muslim brotherhood terrorist hate whole nation muslim christian', 'christian support radical group like christian name cino', 'christian woman right']"
2,974,2_joke_rape_gay_woman,gender,"['joke', 'rape', 'gay', 'woman', 'female', 'call', 'bitch', 'sexist', 'men', 'people']","['clearly product time could make rape joke like clean gay rape joke', 'also gay rape joke funny fucking idiot make', 'people said rape joke gay character made joke']"
3,873,3_rt_bully_idiot_bullying,other_cyberbullying,"['rt', 'bully', 'idiot', 'bullying', 'fuck', 'like', 'dumb', 'fucking', 'people', 'hate']","['real rt mom would let fuck rt seahawks bunch dumb nigger', 'rt way men think fucking stupid', 'rt fucking hate']"
4,850,4_nigger_dumb_fuck_black,ethnicity,"['nigger', 'dumb', 'fuck', 'black', 'white', 'as', 'people', 'called', 'obama', 'negro']","['fuck obama dumb as nigger bitch shut yo white as', 'fuck obama dumb as nigger dumb ugly white bitch tho', 'rt fuck obama dumb as nigger']"
