Topic,Count,Name,CustomName,Representation,Representative_Docs
0,1976,0_rt_one_first_people,not_cyberbullying,"['rt', 'one', 'first', 'people', 'like', 'know', 'time', 'think', 'right', 'amp']","['rt research think problem people actually stupid fucking idiot', 'think ur love one first', 'would love go']"
1,965,1_fuck_dumb_nigger_as,other_cyberbullying,"['fuck', 'dumb', 'nigger', 'as', 'bitch', 'fucking', 'shit', 'rt', 'bully', 'like']","['fuck dumb fuck', 'fuck obama dumb as nigger dumb ugly white bitch tho', 'fucking ugly as fuck dumb fuck pussy as nigger']"
2,958,2_muslim_islamic_terrorist_terrorism,religion,"['muslim', 'islamic', 'terrorist', 'terrorism', 'christian', 'islam', 'radical', 'idiot', 'quran', 'support']","['radical christian kill gay trans people state muslim american', 'u know islamic terrorism every country say islamic terrorism worry oneday ur religion end', 'terrorist attack recently muslim every time mean muslim terrorist go looking terrorist eg chinese community idiot many prob black londoner support police btw stopping murder trump']"
3,784,3_joke_rape_gay_woman,gender,"['joke', 'rape', 'gay', 'woman', 'sexist', 'female', 'people', 'christian', 'make', 'men']","['also gay rape joke funny fucking idiot make', 'straight gay men think rape joke funny', 'come straight woman think rape joke gay men funny']"
4,419,4_black_white_racist_people,ethnicity,"['black', 'white', 'racist', 'people', 'racism', 'negro', 'called', 'nigger', 'colored', 'past']","['black guy racist got offended white guy called negro', 'black person sell kiss racist white people especially defend racist white people black uncle tom malcolm x called house negro', 'coon black person sell kiss racist white people especially defend racist white people black uncle tom malcolm x called house negro']"
