Topic,Count,Name,CustomName,Representation,Representative_Docs
-1,2097,-1_one_like_people_first,outlier,"['one', 'like', 'people', 'first', 'right', 'ur', 'know', 'time', 'rt', 'think']","['like see right innocent act', 'get past idea anyone think child jail anything', 'ur first one']"
0,1182,0_muslim_christian_islamic_terrorist,religion,"['muslim', 'christian', 'islamic', 'terrorist', 'terrorism', 'radical', 'idiot', 'islam', 'woman', 'support']","['know support radical muslim stuff', 'christian woman right', 'radical islamic terrorism']"
1,788,1_nigger_dumb_fuck_black,ethnicity,"['nigger', 'dumb', 'fuck', 'black', 'white', 'as', 'called', 'people', 'racism', 'racist']","['fuck think calling people nigger dumb ignorant white fuck face', 'fuck obama dumb as nigger dumb ugly white bitch tho', 'rt fuck obama dumb as nigger bitch fuck']"
2,763,2_joke_rape_gay_female,gender,"['joke', 'rape', 'gay', 'female', 'woman', 'call', 'bitch', 'sexist', 'people', 'men']","['straight gay men think rape joke funny', 'joke gay people right', 'people said rape joke gay character made joke']"
3,428,3_amp_twitter_school_think,not_cyberbullying,"['amp', 'twitter', 'school', 'think', 'thing', 'tweet', 'cook', 'go', 'one', 'right']","['black men let white girl sit amp say type racist thing amp still fuck w', 'exactly idea sexist amp problematic amp doesnt take account rape gay woman amp trans men', 'hate amp want destroy israel amp jew amp know']"
4,393,4_bully_rt_bullying_idiot,other_cyberbullying,"['bully', 'rt', 'bullying', 'idiot', 'fuck', 'dumb', 'bullied', 'fucking', 'like', 'people']","['stand bully', 'make status facebook saying hate bully bully like', 'bully fucking much hate']"
