Topic,Count,Name,CustomName,Representation,Representative_Docs
-1,1400,-1_like_im_amp_one,-1_like_im_amp_one,"['like', 'im', 'amp', 'one', 'kat', 'get', 'right', 'dont', 'know', 'first']","['im sorry every right say hurt', 'company transferring people im one maybe get ur fact right first mug also could go care work wanted hiring constantly dont need therefore wont continue sit home sleeping til late enjoy', 'know people like dont listen old school']"
0,914,0_muslim_christian_terrorist_islamic,Religion Cyberbullying,"['muslim', 'christian', 'terrorist', 'islamic', 'terrorism', 'idiot', 'radical', 'islam', 'woman', 'quran']","['terrorist go pakistan bangladesh tell isi taliban osama billaden ke pute muslim dog one news good u islam muslim terrorist quran muslim human kafeer ok muslim dog', 'muslim', 'muslim idiot']"
1,885,1_rt_get_go_dont,Not Cyberbullying,"['rt', 'get', 'go', 'dont', 'one', 'thing', 'like', 'right', 'im', 'oh']","['rt shit', 'rt fuck', 'rt bitch']"
2,612,2_nigger_dumb_fuck_black,Ethnicity Cyberbullying,"['nigger', 'dumb', 'fuck', 'black', 'white', 'as', 'racism', 'racist', 'people', 'called']","['go fuck dumb nigger', 'nigger fuck', 'fuck dumb nigger']"
3,597,3_joke_rape_gay_female,Gender Cyberbullying,"['joke', 'rape', 'gay', 'female', 'woman', 'call', 'sexist', 'make', 'im', 'bitch']","['people said rape joke gay character made joke', 'rape joke', 'make joke rape']"
4,355,4_bullying_idiot_bully_obama,Other Cyberbullying,"['bullying', 'idiot', 'bully', 'obama', 'as', 'fuck', 'dumb', 'nigger', 'bullied', 'que']","['rt fuck dumb nigger obama', 'rt fuck obama dumb as nigger', 'fuck obama dumb as nigger']"
